Close Date,Package,# of Licenses,Contract Value,Customer Region,Customer Org Size,Customer Industry,Sales Rep
2024-10-15,Professional,20,399.8,EMEA,500,Education,Alex
2024-10-18,Basic,60,599.4,APAC,1500,Manufacturing,Alex
2024-10-20,Basic,45,449.55,Americas,1300,Manufacturing,Alex
2024-10-22,Professional,40,799.6,APAC,1250,Education,Alex
2024-10-25,Professional,12,239.88,EMEA,900,Technology,Alex
2024-10-27,Plus,16,239.84,Americas,1200,Retail,Alex
2024-10-30,Basic,34,339.66,APAC,2000,Education,Alex
2024-11-01,Basic,35,349.65,Americas,1700,Technology,Alex
2024-11-03,Professional,52,1039.48,APAC,1600,Education,Alex
2024-11-05,Professional,10,199.9,EMEA,450,Finance,Chris
2024-11-07,Basic,25,249.75,APAC,650,Technology,Chris
2024-11-09,Basic,20,199.8,Americas,1000,Technology,Chris
2024-11-11,Professional,22,439.78,APAC,1250,Retail,Chris
2024-11-13,Professional,13,259.87,EMEA,950,Finance,Chris
2024-11-15,Plus,22,329.78,Americas,1650,Manufacturing,Chris
2024-11-18,Basic,27,269.73,APAC,1600,Healthcare,Chris
2024-11-20,Basic,37,369.63,Americas,1800,Manufacturing,Chris
2024-11-22,Plus,15,224.85,Americas,350,Education,Jamie
2024-11-25,Plus,12,179.88,Americas,700,Retail,Jamie
2024-11-28,Professional,15,299.85,EMEA,800,Healthcare,Jamie
2024-11-30,Professional,18,359.82,EMEA,700,Healthcare,Jamie
2024-12-02,Plus,15,224.85,Americas,1400,Manufacturing,Jamie
2024-12-04,Basic,33,329.67,APAC,1500,Healthcare,Jamie
2024-12-06,Basic,29,289.71,Americas,1550,Education,Jamie
2024-12-08,Professional,28,559.72,APAC,1450,Retail,Jamie
2024-12-10,Professional,21,419.79,EMEA,1000,Healthcare,Jamie
2024-12-12,Basic,30,299.7,Americas,800,Technology,Morgan
2024-12-14,Basic,40,399.6,Americas,900,Technology,Morgan
2024-12-16,Plus,25,374.75,Americas,1600,Retail,Morgan
2024-12-18,Basic,50,499.5,APAC,1750,Education,Morgan
2024-12-20,Basic,28,279.72,Americas,1450,Technology,Morgan
2024-12-22,Professional,55,1099.45,APAC,1800,Healthcare,Morgan
2024-12-24,Professional,16,319.84,EMEA,1250,Technology,Morgan
2024-12-26,Plus,24,359.76,Americas,1500,Finance,Morgan
2024-12-28,Professional,25,499.75,APAC,600,Education,Riley
2024-12-30,Professional,35,699.65,APAC,1100,Education,Riley
2025-01-02,Professional,50,999.5,APAC,1400,Education,Riley
2025-01-04,Professional,17,339.83,EMEA,800,Healthcare,Riley
2025-01-06,Plus,18,269.82,Americas,1300,Manufacturing,Riley
2025-01-08,Basic,24,239.76,APAC,1350,Manufacturing,Riley
2025-01-10,Basic,26,259.74,Americas,1750,Finance,Riley
2025-01-12,Professional,60,1199.4,APAC,1850,Education,Riley
2025-01-14,Basic,50,499.5,APAC,1000,Healthcare,Taylor
2025-01-16,Plus,20,299.8,Americas,1200,Finance,Taylor
2025-01-18,Basic,30,299.7,APAC,950,Finance,Taylor
2025-01-20,Basic,30,299.7,Americas,1100,Finance,Taylor
2025-01-22,Professional,44,879.56,APAC,1600,Education,Taylor
2025-01-24,Professional,14,279.86,EMEA,1150,Technology,Taylor
2025-01-26,Plus,19,284.81,Americas,1900,Manufacturing,Taylor
2025-01-28,Basic,36,359.64,APAC,1750,Retail,Taylor